Sentence #,Word,Sentiment,Aspect,Sentiment_Score,Aspect_Score
Sentence 1,일단,O,O,0,0
Sentence 1,배터리는,O,O,0,0
Sentence 1,잔량없이,O,O,0,0
Sentence 1,와서,O,O,0,0
Sentence 1,충전하고,O,O,0,0
Sentence 1,있어서,O,O,0,0
Sentence 1,뭐라,O,O,0,0
Sentence 1,후기쓸게,O,O,0,0
Sentence 1,없구요,O,O,0,0
Sentence 1,배송해준,B-부정,B-배송,B-3,B-4
Sentence 1,롯데택배는,I-부정,I-배송,I-3,I-4
Sentence 1,정말,I-부정,I-배송,I-3,I-4
Sentence 1,직업의식이,I-부정,I-배송,I-3,I-4
Sentence 1,없네요,I-부정,I-배송,I-3,I-4
Sentence 1,마구,B-부정,B-배송,B-3,B-4
Sentence 1,찌그러진,I-부정,I-배송,I-3,I-4
Sentence 1,박스를,I-부정,I-배송,I-3,I-4
Sentence 1,보는순간,I-부정,I-배송,I-3,I-4
Sentence 1,배터리에,I-부정,I-배송,I-3,I-4
Sentence 1,충격이,I-부정,I-배송,I-3,I-4
Sentence 1,많이,I-부정,I-배송,I-3,I-4
Sentence 1,갔을것,I-부정,I-배송,I-3,I-4
Sentence 1,같아,I-부정,I-배송,I-3,I-4
Sentence 1,걱정이,I-부정,I-배송,I-3,I-4
Sentence 1,되네요,I-부정,I-배송,I-3,I-4
Sentence 2,내용물,B-부정,B-배송,B-3,B-4
Sentence 2,포장도,I-부정,I-배송,I-3,I-4
Sentence 2,뽁뽁이를,I-부정,I-배송,I-3,I-4
Sentence 2,한,I-부정,I-배송,I-3,I-4
Sentence 2,번,I-부정,I-배송,I-3,I-4
Sentence 2,감아,I-부정,I-배송,I-3,I-4
Sentence 2,줬으면,I-부정,I-배송,I-3,I-4
Sentence 2,좋았을텐데,I-부정,I-배송,I-3,I-4
Sentence 2,그냥,I-부정,I-배송,I-3,I-4
Sentence 2,배터리포장박스,I-부정,I-배송,I-3,I-4
Sentence 2,그대로,I-부정,I-배송,I-3,I-4
Sentence 2,들어있어서,I-부정,I-배송,I-3,I-4
Sentence 2,충격,I-부정,I-배송,I-3,I-4
Sentence 2,흡수,I-부정,I-배송,I-3,I-4
Sentence 2,제대로,I-부정,I-배송,I-3,I-4
Sentence 2,됐겠습니다,I-부정,I-배송,I-3,I-4
Sentence 2,판매자님도,B-부정,B-배송,B-3,B-4
Sentence 2,포장,I-부정,I-배송,I-3,I-4
Sentence 2,신경써주시고,I-부정,I-배송,I-3,I-4
Sentence 2,배달하시는,I-부정,I-배송,I-3,I-4
Sentence 2,분도,I-부정,I-배송,I-3,I-4
Sentence 2,조심좀,I-부정,I-배송,I-3,I-4
Sentence 2,해주시면,I-부정,I-배송,I-3,I-4
Sentence 2,좋겠어요,I-부정,I-배송,I-3,I-4
Sentence 3,상품,B-부정,B-문의,B-1,B-3
Sentence 3,상세설명에는,I-부정,I-문의,I-1,I-3
Sentence 3,10000mAh라고,I-부정,I-문의,I-1,I-3
Sentence 3,적혀있는데,I-부정,I-문의,I-1,I-3
Sentence 3,상품,I-부정,I-문의,I-1,I-3
Sentence 3,박스에는,I-부정,I-문의,I-1,I-3
Sentence 3,5000mAh라고,I-부정,I-문의,I-1,I-3
Sentence 3,적혀있어서,I-부정,I-문의,I-1,I-3
Sentence 3,판매처에,I-부정,I-문의,I-1,I-3
Sentence 3,문의하니,I-부정,I-문의,I-1,I-3
Sentence 3,일반충전시에는,I-부정,I-문의,I-1,I-3
Sentence 3,10000이고,I-부정,I-문의,I-1,I-3
Sentence 3,고속충전시에는,I-부정,I-문의,I-1,I-3
Sentence 3,5000이라네요,I-부정,I-문의,I-1,I-3
Sentence 3,전공하는,B-부정,B-충전,B-2,B-1
Sentence 3,사람에게,I-부정,I-충전,I-2,I-1
Sentence 3,물어보니,I-부정,I-충전,I-2,I-1
Sentence 3,처음,I-부정,I-충전,I-2,I-1
Sentence 3,듣는,I-부정,I-충전,I-2,I-1
Sentence 3,이야기라고,I-부정,I-충전,I-2,I-1
Sentence 3,하는데충전후,I-부정,I-충전,I-2,I-1
Sentence 3,사용해보니,I-부정,I-충전,I-2,I-1
Sentence 3,이상은,I-부정,I-충전,I-2,I-1
Sentence 3,없는것,I-부정,I-충전,I-2,I-1
Sentence 3,같아,I-부정,I-충전,I-2,I-1
Sentence 3,그냥,I-부정,I-충전,I-2,I-1
Sentence 3,사용하기는,I-부정,I-충전,I-2,I-1
Sentence 3,하지만,I-부정,I-충전,I-2,I-1
Sentence 3,찜찜한,I-부정,I-충전,I-2,I-1
Sentence 3,마음은,I-부정,I-충전,I-2,I-1
Sentence 3,사라지지,I-부정,I-충전,I-2,I-1
Sentence 3,않아요,I-부정,I-충전,I-2,I-1
Sentence 4,1,B-부정,B-무게,B-2,B-3
Sentence 4,아주,I-부정,I-무게,I-2,I-3
Sentence 4,무겁습니다,I-부정,I-무게,I-2,I-3
Sentence 4,처음에는,B-부정,B-무게,B-2,B-3
Sentence 4,괜찮았는데,I-부정,I-무게,I-2,I-3
Sentence 4,2시간,I-부정,I-무게,I-2,I-3
Sentence 4,넘어가니들고,I-부정,I-무게,I-2,I-3
Sentence 4,다녔더니,I-부정,I-무게,I-2,I-3
Sentence 4,허리가,I-부정,I-무게,I-2,I-3
Sentence 4,부러질,I-부정,I-무게,I-2,I-3
Sentence 4,것,I-부정,I-무게,I-2,I-3
Sentence 4,같습니다,I-부정,I-무게,I-2,I-3
Sentence 4,(주말에,I-부정,I-무게,I-2,I-3
Sentence 4,친구들이랑,I-부정,I-무게,I-2,I-3
Sentence 4,놀다가,I-부정,I-무게,I-2,I-3
Sentence 4,결국,I-부정,I-무게,I-2,I-3
Sentence 4,가벼운거,I-부정,I-무게,I-2,I-3
Sentence 4,새거삼),I-부정,I-무게,I-2,I-3
Sentence 4,2,B-긍정,B-배터리용량,B-1,B-2
Sentence 4,그,I-긍정,I-배터리용량,I-1,I-2
Sentence 4,외,I-긍정,I-배터리용량,I-1,I-2
Sentence 4,용량이,I-긍정,I-배터리용량,I-1,I-2
Sentence 4,커서,I-긍정,I-배터리용량,I-1,I-2
Sentence 4,여러번,I-긍정,I-배터리용량,I-1,I-2
Sentence 4,충전되는,I-긍정,I-배터리용량,I-1,I-2
Sentence 4,점과,I-긍정,I-배터리용량,I-1,I-2
Sentence 4,"디자인,",B-긍정,B-디자인,B-1,B-1
Sentence 4,색상,I-긍정,I-디자인,I-1,I-1
Sentence 4,등은,I-긍정,I-디자인,I-1,I-1
Sentence 4,마음에,I-긍정,I-디자인,I-1,I-1
Sentence 4,듭니다,I-긍정,I-디자인,I-1,I-1
Sentence 4,3,B-부정,B-휴대성,B-1,B-3
Sentence 4,휴대용,I-부정,I-휴대성,I-1,I-3
Sentence 4,여행용으로는,I-부정,I-휴대성,I-1,I-3
Sentence 4,가벼운,I-부정,I-휴대성,I-1,I-3
Sentence 4,저용량,I-부정,I-휴대성,I-1,I-3
Sentence 4,제품이맞고,I-부정,I-휴대성,I-1,I-3
Sentence 4,이제품은,I-부정,I-휴대성,I-1,I-3
Sentence 4,이동수단을,I-부정,I-휴대성,I-1,I-3
Sentence 4,타고,I-부정,I-휴대성,I-1,I-3
Sentence 4,이동할때,I-부정,I-휴대성,I-1,I-3
Sentence 4,충전용으로,I-부정,I-휴대성,I-1,I-3
Sentence 4,알맞은것같습니다,I-부정,I-휴대성,I-1,I-3
Sentence 5,잠깐,O,O,0,0
Sentence 5,사용해봤는데,O,O,0,0
Sentence 5,충전,O,O,0,0
Sentence 5,빠릅니다,O,O,0,0
Sentence 5,별점,B-부정,B-배송,B-1,B-2
Sentence 5,뺀,I-부정,I-배송,I-1,I-2
Sentence 5,이유는,I-부정,I-배송,I-1,I-2
Sentence 5,완충제,I-부정,I-배송,I-1,I-2
Sentence 5,없이,I-부정,I-배송,I-1,I-2
Sentence 5,보내주셔서,I-부정,I-배송,I-1,I-2
Sentence 5,오면서,I-부정,I-배송,I-1,I-2
Sentence 5,상품에,I-부정,I-배송,I-1,I-2
Sentence 5,충격이,I-부정,I-배송,I-1,I-2
Sentence 5,많았을것,I-부정,I-배송,I-1,I-2
Sentence 5,같습니다,I-부정,I-배송,I-1,I-2
Sentence 5,"또,",B-부정,B-기타,B-1,B-1
Sentence 5,배터리,I-부정,I-기타,I-1,I-1
Sentence 5,외관에도,I-부정,I-기타,I-1,I-1
Sentence 5,완전히,I-부정,I-기타,I-1,I-1
Sentence 5,새거같지않은,I-부정,I-기타,I-1,I-1
Sentence 5,느낌이,I-부정,I-기타,I-1,I-1
Sentence 5,있습니다(미세한,I-부정,I-기타,I-1,I-1
Sentence 5,긁힘,I-부정,I-기타,I-1,I-1
Sentence 5,등),I-부정,I-기타,I-1,I-1
Sentence 6,급히,O,O,0,0
