Sentence #,Word,Sentiment,Aspect,Sentiment_Score,Aspect_Score
Sentence 2,내용물,B-부정,B-배송,B-3,B-4
Sentence 2,포장도,I-부정,I-배송,I-3,I-4
Sentence 2,뽁뽁이를,I-부정,I-배송,I-3,I-4
Sentence 2,한,I-부정,I-배송,I-3,I-4
Sentence 2,번,I-부정,I-배송,I-3,I-4
Sentence 2,감아,I-부정,I-배송,I-3,I-4
Sentence 2,줬으면,I-부정,I-배송,I-3,I-4
Sentence 2,좋았을텐데,I-부정,I-배송,I-3,I-4
Sentence 2,그냥,I-부정,I-배송,I-3,I-4
Sentence 2,배터리포장박스,I-부정,I-배송,I-3,I-4
Sentence 2,그대로,I-부정,I-배송,I-3,I-4
Sentence 2,들어있어서,I-부정,I-배송,I-3,I-4
Sentence 2,충격,I-부정,I-배송,I-3,I-4
Sentence 2,흡수,I-부정,I-배송,I-3,I-4
Sentence 2,제대로,I-부정,I-배송,I-3,I-4
Sentence 2,됐겠습니다,I-부정,I-배송,I-3,I-4
Sentence 2,판매자님도,B-부정,B-배송,B-3,B-4
Sentence 2,포장,I-부정,I-배송,I-3,I-4
Sentence 2,신경써주시고,I-부정,I-배송,I-3,I-4
Sentence 2,배달하시는,I-부정,I-배송,I-3,I-4
Sentence 2,분도,I-부정,I-배송,I-3,I-4
Sentence 2,조심좀,I-부정,I-배송,I-3,I-4
Sentence 2,해주시면,I-부정,I-배송,I-3,I-4
Sentence 2,좋겠어요,I-부정,I-배송,I-3,I-4
Sentence 3,상품,B-부정,B-문의,B-1,B-3
Sentence 3,상세설명에는,I-부정,I-문의,I-1,I-3
Sentence 3,10000mAh라고,I-부정,I-문의,I-1,I-3
Sentence 3,적혀있는데,I-부정,I-문의,I-1,I-3
Sentence 3,상품,I-부정,I-문의,I-1,I-3
Sentence 3,박스에는,I-부정,I-문의,I-1,I-3
Sentence 3,5000mAh라고,I-부정,I-문의,I-1,I-3
Sentence 3,적혀있어서,I-부정,I-문의,I-1,I-3
Sentence 3,판매처에,I-부정,I-문의,I-1,I-3
Sentence 3,문의하니,I-부정,I-문의,I-1,I-3
Sentence 3,일반충전시에는,I-부정,I-문의,I-1,I-3
Sentence 3,10000이고,I-부정,I-문의,I-1,I-3
Sentence 3,고속충전시에는,I-부정,I-문의,I-1,I-3
Sentence 3,5000이라네요,I-부정,I-문의,I-1,I-3
Sentence 3,전공하는,B-부정,B-충전,B-2,B-1
Sentence 3,사람에게,I-부정,I-충전,I-2,I-1
Sentence 3,물어보니,I-부정,I-충전,I-2,I-1
Sentence 3,처음,I-부정,I-충전,I-2,I-1
Sentence 3,듣는,I-부정,I-충전,I-2,I-1
Sentence 3,이야기라고,I-부정,I-충전,I-2,I-1
Sentence 3,하는데충전후,I-부정,I-충전,I-2,I-1
Sentence 3,사용해보니,I-부정,I-충전,I-2,I-1
Sentence 3,이상은,I-부정,I-충전,I-2,I-1
Sentence 3,없는것,I-부정,I-충전,I-2,I-1
Sentence 3,같아,I-부정,I-충전,I-2,I-1
Sentence 3,그냥,I-부정,I-충전,I-2,I-1
Sentence 3,사용하기는,I-부정,I-충전,I-2,I-1
Sentence 3,하지만,I-부정,I-충전,I-2,I-1
Sentence 3,찜찜한,I-부정,I-충전,I-2,I-1
Sentence 3,마음은,I-부정,I-충전,I-2,I-1
Sentence 3,사라지지,I-부정,I-충전,I-2,I-1
Sentence 3,않아요,I-부정,I-충전,I-2,I-1
Sentence 5,잠깐,O,O,0,0
Sentence 5,사용해봤는데,O,O,0,0
Sentence 5,충전,O,O,0,0
Sentence 5,빠릅니다,O,O,0,0
Sentence 5,별점,B-부정,B-배송,B-1,B-2
Sentence 5,뺀,I-부정,I-배송,I-1,I-2
Sentence 5,이유는,I-부정,I-배송,I-1,I-2
Sentence 5,완충제,I-부정,I-배송,I-1,I-2
Sentence 5,없이,I-부정,I-배송,I-1,I-2
Sentence 5,보내주셔서,I-부정,I-배송,I-1,I-2
Sentence 5,오면서,I-부정,I-배송,I-1,I-2
Sentence 5,상품에,I-부정,I-배송,I-1,I-2
Sentence 5,충격이,I-부정,I-배송,I-1,I-2
Sentence 5,많았을것,I-부정,I-배송,I-1,I-2
Sentence 5,같습니다,I-부정,I-배송,I-1,I-2
Sentence 5,"또,",B-부정,B-기타,B-1,B-1
Sentence 5,배터리,I-부정,I-기타,I-1,I-1
Sentence 5,외관에도,I-부정,I-기타,I-1,I-1
Sentence 5,완전히,I-부정,I-기타,I-1,I-1
Sentence 5,새거같지않은,I-부정,I-기타,I-1,I-1
Sentence 5,느낌이,I-부정,I-기타,I-1,I-1
Sentence 5,있습니다(미세한,I-부정,I-기타,I-1,I-1
Sentence 5,긁힘,I-부정,I-기타,I-1,I-1
Sentence 5,등),I-부정,I-기타,I-1,I-1
Sentence 6,급히,O,O,0,0
Sentence 6,필요하기도,O,O,0,0
Sentence 6,하고,O,O,0,0
Sentence 6,본연의,O,O,0,0
Sentence 6,기능에는,O,O,0,0
Sentence 6,문제가,O,O,0,0
Sentence 6,없어,O,O,0,0
Sentence 6,그냥,O,O,0,0
Sentence 6,쓰려고하지만,O,O,0,0
Sentence 6,아쉽습니다,O,O,0,0
Sentence 7,참고하세요~,O,O,0,0
Sentence 8,가격,O,O,0,0
Sentence 8,다른,O,O,0,0
Sentence 8,곳에,O,O,0,0
Sentence 8,비해,O,O,0,0
Sentence 8,저렴한,O,O,0,0
Sentence 8,편인것,O,O,0,0
Sentence 8,같아요,O,O,0,0
Sentence 8,배송도,B-긍정,B-배송,B-1,B-1
Sentence 8,빠르고,I-긍정,I-배송,I-1,I-1
Sentence 8,안전하게,I-긍정,I-배송,I-1,I-1
Sentence 8,왔어요,I-긍정,I-배송,I-1,I-1
Sentence 8,충전은,B-긍정,B-충전,B-1,B-1
Sentence 8,확실하게,I-긍정,I-충전,I-1,I-1
Sentence 8,안정적으로,I-긍정,I-충전,I-1,I-1
Sentence 8,잘,I-긍정,I-충전,I-1,I-1
Sentence 8,됩니다,I-긍정,I-충전,I-1,I-1
Sentence 9,무게도,B-긍정,B-무게,B-1,B-1
Sentence 9,가볍습니다,I-긍정,I-무게,I-1,I-1
Sentence 9,겉표면에,B-부정,B-기타,B-3,B-3
Sentence 9,더럽고,I-부정,I-기타,I-3,I-3
Sentence 9,끈적거리는,I-부정,I-기타,I-3,I-3
Sentence 9,테이프스티커,I-부정,I-기타,I-3,I-3
Sentence 9,같은게,I-부정,I-기타,I-3,I-3
Sentence 9,왜,I-부정,I-기타,I-3,I-3
Sentence 9,붙어있는지,I-부정,I-기타,I-3,I-3
Sentence 9,새제품,I-부정,I-기타,I-3,I-3
Sentence 9,맞는지,I-부정,I-기타,I-3,I-3
Sentence 9,의심스럽네,I-부정,I-기타,I-3,I-3
Sentence 11,이거,B-부정,B-잔량표시,B-2,B-2
Sentence 11,좀,I-부정,I-잔량표시,I-2,I-2
Sentence 11,이상합니다,I-부정,I-잔량표시,I-2,I-2
Sentence 11,제가,I-부정,I-잔량표시,I-2,I-2
Sentence 11,불량이,I-부정,I-잔량표시,I-2,I-2
Sentence 11,걸린건지,I-부정,I-잔량표시,I-2,I-2
Sentence 11,모르겠는데,I-부정,I-잔량표시,I-2,I-2
Sentence 11,분명,I-부정,I-잔량표시,I-2,I-2
Sentence 11,어제까지만해도,I-부정,I-잔량표시,I-2,I-2
Sentence 11,불3개가,I-부정,I-잔량표시,I-2,I-2
Sentence 11,들어와있었는데,I-부정,I-잔량표시,I-2,I-2
Sentence 11,오늘,I-부정,I-잔량표시,I-2,I-2
Sentence 11,사용하려고,I-부정,I-잔량표시,I-2,I-2
Sentence 11,핸드폰을,I-부정,I-잔량표시,I-2,I-2
Sentence 11,꽂았는데,I-부정,I-잔량표시,I-2,I-2
Sentence 11,배터리가,I-부정,I-잔량표시,I-2,I-2
Sentence 11,없답니다,I-부정,I-잔량표시,I-2,I-2
Sentence 11,그리고,O,O,0,0
Sentence 11,배터리,O,O,0,0
Sentence 11,자체도,O,O,0,0
Sentence 11,충전이,O,O,0,0
Sentence 11,엄청,O,O,0,0
Sentence 11,느려요,O,O,0,0
Sentence 12,왜그러는지,O,O,0,0
Sentence 12,모르겠어요,O,O,0,0
Sentence 13,고객센터,O,O,0,0
Sentence 13,가기도,O,O,0,0
Sentence 13,귀찮은데,O,O,0,0
Sentence 13,",,,,",O,O,0,0
Sentence 13,아오,O,O,0,0
Sentence 14,제품,B-부정,B-기타,B-2,B-2
Sentence 14,자체는,I-부정,I-기타,I-2,I-2
Sentence 14,마음에,I-부정,I-기타,I-2,I-2
Sentence 14,"드는데,",I-부정,I-기타,I-2,I-2
Sentence 14,제조일자가,I-부정,I-기타,I-2,I-2
Sentence 14,2019년이라서,I-부정,I-기타,I-2,I-2
Sentence 14,2점,I-부정,I-기타,I-2,I-2
Sentence 14,뺐습니다,I-부정,I-기타,I-2,I-2
Sentence 15,좋은데,B-부정,B-그립감,B-1,B-2
Sentence 15,미끄러워서,I-부정,I-그립감,I-1,I-2
Sentence 15,사용하기,I-부정,I-그립감,I-1,I-2
Sentence 15,불편해요,I-부정,I-그립감,I-1,I-2
Sentence 15,ㅠㅠ,I-부정,I-그립감,I-1,I-2
Sentence 16,제조연월일이,B-부정,B-기타,B-1,B-1
Sentence 16,좀,I-부정,I-기타,I-1,I-1
Sentence 16,오래,I-부정,I-기타,I-1,I-1
Sentence 16,되어서,I-부정,I-기타,I-1,I-1
Sentence 16,아쉬워요,I-부정,I-기타,I-1,I-1
Sentence 17,무게감은,B-긍정,B-무게,B-1,B-1
Sentence 17,딱좋고,I-긍정,I-무게,I-1,I-1
Sentence 17,제폰에,B-부정,B-충전,B-1,B-2
Sentence 17,충전하면,I-부정,I-충전,I-1,I-2
Sentence 17,어쩌다한번,I-부정,I-충전,I-1,I-2
Sentence 17,충전안되서,I-부정,I-충전,I-1,I-2
Sentence 17,한두번,I-부정,I-충전,I-1,I-2
Sentence 17,다시,I-부정,I-충전,I-1,I-2
Sentence 17,꽂아줘야돼요,I-부정,I-충전,I-1,I-2
Sentence 17,상품은,O,O,0,0
Sentence 17,그냥,O,O,0,0
Sentence 17,그래요,O,O,0,0
Sentence 18,배송도,B-긍정,B-배송,B-1,B-1
Sentence 18,빠르고,I-긍정,I-배송,I-1,I-1
Sentence 18,작동도,I-긍정,I-배송,I-1,I-1
Sentence 18,잘되서,I-긍정,I-배송,I-1,I-1
Sentence 18,좋은데,I-긍정,I-배송,I-1,I-1
Sentence 18,가격이,B-부정,B-기타,B-1,B-3
Sentence 18,저렴할때,I-부정,I-기타,I-1,I-3
Sentence 18,예상했지만,I-부정,I-기타,I-1,I-3
Sentence 18,제조일이,I-부정,I-기타,I-1,I-3
Sentence 18,좀,I-부정,I-기타,I-1,I-3
Sentence 18,지나서,I-부정,I-기타,I-1,I-3
Sentence 18,배터리가,I-부정,I-기타,I-1,I-3
Sentence 18,완전,I-부정,I-기타,I-1,I-3
Sentence 18,방전나있던게,I-부정,I-기타,I-1,I-3
Sentence 18,아쉽네요,I-부정,I-기타,I-1,I-3
Sentence 21,휴대성이조아요,B-긍정,B-휴대성,B-1,B-1
Sentence 21,굿굿,O,O,0,0
Sentence 23,제품은,B-부정,B-배송,B-2,B-3
Sentence 23,맘에,I-부정,I-배송,I-2,I-3
Sentence 23,드나,I-부정,I-배송,I-2,I-3
Sentence 23,포장이,I-부정,I-배송,I-2,I-3
Sentence 23,뾱뾱이같은거,I-부정,I-배송,I-2,I-3
Sentence 23,한장도,I-부정,I-배송,I-2,I-3
Sentence 23,없이,I-부정,I-배송,I-2,I-3
Sentence 23,그냥,I-부정,I-배송,I-2,I-3
Sentence 23,담겨옴,I-부정,I-배송,I-2,I-3
Sentence 23,충격에,I-부정,I-배송,I-2,I-3
Sentence 23,예민한,I-부정,I-배송,I-2,I-3
Sentence 23,배터린데,I-부정,I-배송,I-2,I-3
Sentence 23,너무하네요,I-부정,I-배송,I-2,I-3
Sentence 23,충전줄도,B-부정,B-케이블,B-1,B-2
Sentence 23,짧아서,I-부정,I-케이블,I-1,I-2
Sentence 23,좀,I-부정,I-케이블,I-1,I-2
Sentence 23,아쉬워요,I-부정,I-케이블,I-1,I-2
Sentence 24,포장이,B-부정,B-배송,B-2,B-3
Sentence 24,아쉬웠어요,I-부정,I-배송,I-2,I-3
Sentence 24,완충제하나없이,I-부정,I-배송,I-2,I-3
Sentence 24,달랑,I-부정,I-배송,I-2,I-3
Sentence 24,배터리만,I-부정,I-배송,I-2,I-3
Sentence 24,있어서,I-부정,I-배송,I-2,I-3
Sentence 24,받을때,I-부정,I-배송,I-2,I-3
Sentence 24,"별로였네요,",I-부정,I-배송,I-2,I-3
Sentence 24,다행이,I-부정,I-배송,I-2,I-3
Sentence 24,아직까진,I-부정,I-배송,I-2,I-3
Sentence 24,기능에,I-부정,I-배송,I-2,I-3
Sentence 24,문제는,I-부정,I-배송,I-2,I-3
Sentence 24,없지만요,I-부정,I-배송,I-2,I-3
Sentence 25,배낭,B-부정,B-무게,B-1,B-2
Sentence 25,여행을,I-부정,I-무게,I-1,I-2
Sentence 25,위해,I-부정,I-무게,I-1,I-2
Sentence 25,새,I-부정,I-무게,I-1,I-2
Sentence 25,것,I-부정,I-무게,I-1,I-2
Sentence 25,선택하였는데,I-부정,I-무게,I-1,I-2
Sentence 25,생각했던,I-부정,I-무게,I-1,I-2
Sentence 25,것,I-부정,I-무게,I-1,I-2
Sentence 25,보다,I-부정,I-무게,I-1,I-2
Sentence 25,좀,I-부정,I-무게,I-1,I-2
Sentence 25,무겁네요,I-부정,I-무게,I-1,I-2
Sentence 27,고속,O,O,0,0
Sentence 27,충전보조배터리,O,O,0,0
Sentence 27,좋은,O,O,0,0
Sentence 27,가격에,O,O,0,0
Sentence 27,잘,O,O,0,0
Sentence 27,구매했어요,O,O,0,0
Sentence 28,새기계는,B-부정,B-기타,B-1,B-2
Sentence 28,충전이,I-부정,I-기타,I-1,I-2
Sentence 28,원래,I-부정,I-기타,I-1,I-2
Sentence 28,안,I-부정,I-기타,I-1,I-2
Sentence 28,되있나요,I-부정,I-기타,I-1,I-2
Sentence 28,고장난,I-부정,I-기타,I-1,I-2
Sentence 28,건,I-부정,I-기타,I-1,I-2
Sentence 28,줄ㅎ,I-부정,I-기타,I-1,I-2
Sentence 28,괜찮아요,O,O,0,0
Sentence 30,배송,B-긍정,B-배송,B-1,B-1
Sentence 30,빠르고,I-긍정,I-배송,I-1,I-1
Sentence 30,디자인도,B-긍정,B-디자인,B-1,B-1
Sentence 30,무난한,I-긍정,I-디자인,I-1,I-1
Sentence 30,것,I-긍정,I-디자인,I-1,I-1
Sentence 30,같습니다,I-긍정,I-디자인,I-1,I-1
Sentence 31,그럭저럭,B-부정,B-기타,B-1,B-1
Sentence 31,괜찮은,I-부정,I-기타,I-1,I-1
Sentence 31,듯,I-부정,I-기타,I-1,I-1
Sentence 31,한데,I-부정,I-기타,I-1,I-1
Sentence 31,가격이,I-부정,I-기타,I-1,I-1
Sentence 31,비싼,I-부정,I-기타,I-1,I-1
Sentence 31,듯,I-부정,I-기타,I-1,I-1
Sentence 32,충전,O,O,0,0
Sentence 32,문제없이,O,O,0,0
Sentence 32,잘되서,O,O,0,0
Sentence 32,만족해요,O,O,0,0
Sentence 33,생각보다,O,O,0,0
Sentence 33,많이,O,O,0,0
Sentence 33,괜찮아요,O,O,0,0
Sentence 34,삼성,B-부정,B-충전,B-2,B-3
Sentence 34,휴대폰에서,I-부정,I-충전,I-2,I-3
Sentence 34,최적화된,I-부정,I-충전,I-2,I-3
Sentence 34,거,I-부정,I-충전,I-2,I-3
Sentence 34,같습니다,I-부정,I-충전,I-2,I-3
Sentence 34,그런데,I-부정,I-충전,I-2,I-3
Sentence 34,생각보다,I-부정,I-충전,I-2,I-3
Sentence 34,충전하는데,I-부정,I-충전,I-2,I-3
Sentence 34,시간이,I-부정,I-충전,I-2,I-3
Sentence 34,좀,I-부정,I-충전,I-2,I-3
Sentence 34,걸리는,I-부정,I-충전,I-2,I-3
Sentence 34,거,I-부정,I-충전,I-2,I-3
Sentence 34,같습니다;;;,I-부정,I-충전,I-2,I-3
Sentence 35,무조건,B-부정,B-배송,B-2,B-3
Sentence 35,5점,I-부정,I-배송,I-2,I-3
Sentence 35,주는데,I-부정,I-배송,I-2,I-3
Sentence 35,뾱뾱이도없고,I-부정,I-배송,I-2,I-3
Sentence 35,에어쿠션도,I-부정,I-배송,I-2,I-3
Sentence 35,없어서,I-부정,I-배송,I-2,I-3
Sentence 35,3점드려요,I-부정,I-배송,I-2,I-3
Sentence 35,이렇게,O,O,0,0
Sentence 35,파시면,O,O,0,0
Sentence 35,몇백원,O,O,0,0
Sentence 35,아끼려다,O,O,0,0
Sentence 35,몇십만원,O,O,0,0
Sentence 35,손해봅니다,O,O,0,0
Sentence 35,사장님,O,O,0,0
Sentence 36,뽁뽁이,B-부정,B-배송,B-2,B-3
Sentence 36,같은거,I-부정,I-배송,I-2,I-3
Sentence 36,없이,I-부정,I-배송,I-2,I-3
Sentence 36,박스에,I-부정,I-배송,I-2,I-3
Sentence 36,상품만,I-부정,I-배송,I-2,I-3
Sentence 36,왔어요,I-부정,I-배송,I-2,I-3
Sentence 36,전자제품인데,I-부정,I-배송,I-2,I-3
Sentence 36,택배기사님은,I-부정,I-배송,I-2,I-3
Sentence 36,문앞에,I-부정,I-배송,I-2,I-3
Sentence 36,물건,I-부정,I-배송,I-2,I-3
Sentence 36,던져버리구요,I-부정,I-배송,I-2,I-3
Sentence 37,상자에,B-부정,B-배송,B-2,B-3
Sentence 37,배터리본품만,I-부정,I-배송,I-2,I-3
Sentence 37,달랑,I-부정,I-배송,I-2,I-3
Sentence 37,들어와있어요,I-부정,I-배송,I-2,I-3
Sentence 37,충진재도없이,I-부정,I-배송,I-2,I-3
Sentence 38,아이폰용으로,B-부정,B-호환성,B-2,B-2
Sentence 38,구입했는데,I-부정,I-호환성,I-2,I-2
Sentence 38,usb용이,I-부정,I-호환성,I-2,I-2
Sentence 38,없네요ㅜㅜ,I-부정,I-호환성,I-2,I-2
Sentence 39,제품은,B-부정,B-배송,B-1,B-2
Sentence 39,브랜드라,I-부정,I-배송,I-1,I-2
Sentence 39,좋으나,I-부정,I-배송,I-1,I-2
Sentence 39,포장이,I-부정,I-배송,I-1,I-2
Sentence 39,꽝입니다,I-부정,I-배송,I-1,I-2
Sentence 39,제품포장도,I-부정,I-배송,I-1,I-2
Sentence 39,정말,I-부정,I-배송,I-1,I-2
Sentence 39,얇은데,I-부정,I-배송,I-1,I-2
Sentence 39,뽁뽁이,I-부정,I-배송,I-1,I-2
Sentence 39,한장,I-부정,I-배송,I-1,I-2
Sentence 39,없이,I-부정,I-배송,I-1,I-2
Sentence 39,덜렁,I-부정,I-배송,I-1,I-2
Sentence 39,들어있더군요,I-부정,I-배송,I-1,I-2
Sentence 40,걍,O,O,0,0
Sentence 40,심플해요,O,O,0,0
Sentence 40,케이블도주고,O,O,0,0
Sentence 40,많이,O,O,0,0
Sentence 40,파세요^^,O,O,0,0
Sentence 41,배송,O,O,0,0
Sentence 41,잘오고,O,O,0,0
Sentence 41,제품,O,O,0,0
Sentence 41,괜찮은거같아요,O,O,0,0
Sentence 42,상품은,O,O,0,0
Sentence 42,좋은데,O,O,0,0
Sentence 42,배송이,O,O,0,0
Sentence 42,너무느려요,O,O,0,0
Sentence 43,좋은데,O,O,0,0
Sentence 43,너무삐싼,O,O,0,0
Sentence 43,삼성,O,O,0,0
Sentence 43,보조배터리,O,O,0,0
Sentence 44,제조일자,O,O,0,0
Sentence 44,보고,O,O,0,0
Sentence 44,깜놀했네요,O,O,0,0
Sentence 45,나름,O,O,0,0
Sentence 45,좋게,O,O,0,0
Sentence 45,구입건승하시길,O,O,0,0
Sentence 47,2019년,O,O,0,0
Sentence 47,3월,O,O,0,0
Sentence 47,제조품입니다,O,O,0,0
Sentence 49,조아요,O,O,0,0
Sentence 50,조아요조아요ㅋ,O,O,0,0
Sentence 51,휴대용,O,O,0,0
Sentence 51,보조바데리가,O,O,0,0
Sentence 51,필요해서,O,O,0,0
Sentence 51,인터넷,O,O,0,0
Sentence 51,쇼핑하다가,O,O,0,0
Sentence 51,디자인이,O,O,0,0
Sentence 51,심플해서,O,O,0,0
Sentence 51,구매했는데,O,O,0,0
Sentence 51,받아보니,O,O,0,0
Sentence 51,"맘에듭니다,",O,O,0,0
Sentence 51,다만,O,O,0,0
Sentence 51,충전연결,O,O,0,0
Sentence 51,선을,O,O,0,0
Sentence 51,함께,O,O,0,0
Sentence 51,세트로,O,O,0,0
Sentence 51,판매하면,O,O,0,0
Sentence 51,"더좋겠네요,",O,O,0,0
Sentence 51,별도구매라,O,O,0,0
Sentence 51,아쉽네요,O,O,0,0
Sentence 52,가볍고,O,O,0,0
Sentence 52,디자인괜찮은데,O,O,0,0
Sentence 52,생각보다,O,O,0,0
Sentence 52,충전이,O,O,0,0
Sentence 52,느려요,O,O,0,0
Sentence 53,크고,O,O,0,0
Sentence 53,무게감이,O,O,0,0
Sentence 53,있네요,O,O,0,0
Sentence 55,충전케이블에,O,O,0,0
Sentence 55,따라,O,O,0,0
Sentence 55,충전이,O,O,0,0
Sentence 55,될때도,O,O,0,0
Sentence 55,있고,O,O,0,0
